I	F	T
151347	508.68	570
892239	519.71	686
505011	472.06	430
319211	503.23	566
418830	482.56	522
737737	487.14	498
905705	505.4	470
957422	531.67	482
318868	476.84	210
551672	488.26	486
188122	475.75	542
907969	546.29	634
236522	489.32	546
876222	464.07	342
280153	480.92	498
407354	507.07	522
685308	504.87	490
314555	496.47	470
193338	520.87	686
873058	529.32	654
960798	513.13	486
715083	483.96	298
776755	478.69	458
824060	486.96	378
463891	494.64	506
535769	548.03	442
262147	509.16	550
199390	509.11	362
608551	506.46	278
463873	513.03	498
900944	510.33	454
282932	476.0	514
549934	507.85	534
176274	530.12	594
989800	530.37	574
29280	483.19	402
187253	490.98	542
342868	493.6	534
629825	515.46	522
300533	519.6	830
160873	543.17	618
40069	527.26	542
34536	498.05	258
734152	494.8	490
974034	534.2	486
804829	515.83	386
208603	523.22	638
738281	542.38	606
671550	569.68	614
600815	538.41	522
996732	523.27	694
29804	537.09	578
694591	529.27	610
517909	537.09	534
262414	487.55	538
731875	490.94	470
768449	487.36	386
827809	491.87	442
417307	499.17	574
186770	557.76	650
163872	501.43	390
603354	503.93	490
409913	478.71	350
381784	489.73	434
686317	514.27	542
497951	494.02	514
413281	493.98	426
676885	478.47	430
183360	461.55	238
566932	497.3	550
859234	500.2	450
247228	501.94	546
63632	518.24	754
124520	501.52	470
321443	492.89	434
149046	504.85	490
665471	477.7	514
224869	505.64	486
916466	431.53	374
305231	518.31	574
37097	524.17	750
698663	431.04	406
651447	516.52	442
150784	510.38	278
274405	489.49	502
427880	532.48	466
835192	481.43	402
161099	474.91	514
594123	505.21	382
872775	513.33	630
758142	511.03	370
492448	503.53	450
988105	532.77	510
681474	502.81	490
146625	531.32	722
711019	484.78	354
108905	481.05	394
347869	542.44	678
125195	475.9	422
114629	529.75	574
362768	451.85	286
202011	543.46	642
538353	495.08	446
155443	488.61	374
87410	511.35	454
531235	478.79	346
158057	504.46	498
773120	486.21	454
765156	503.62	270
805008	455.75	414
528752	489.5	518
177609	526.96	498
317530	541.2	590
960123	487.22	170
315735	495.31	278
913922	513.08	666
693704	457.81	414
416842	541.43	706
367452	520.06	710
251379	524.9	518
878844	532.44	662
477085	526.88	714
661685	498.06	466
261034	548.28	538
807442	493.87	374
322951	500.08	270
53310	506.26	574
333929	522.2	722
34883	453.86	350
618129	506.76	486
633340	507.11	290
219883	525.96	706
33944	535.91	626
941781	470.17	426
8194	440.86	446
678971	480.25	370
715845	550.11	734
514208	540.55	438
712587	490.82	426
965977	472.78	366
374682	497.72	418
776801	549.36	662
71153	518.55	650
952973	501.49	650
518496	522.62	698
438666	522.82	582
161000	474.13	510
142405	508.36	462
137193	552.94	694
204580	465.72	482
842966	493.04	470
414343	533.62	562
639421	502.37	562
73163	544.61	566
528074	518.64	326
987759	521.65	642
270100	441.14	406
290773	497.6	506
501004	469.9	410
467240	465.26	222
894082	528.19	570
106090	458.91	414
191959	527.14	566
146570	558.58	634
851498	531.6	562
94987	515.45	526
862151	529.04	606
28626	492.05	390
248222	471.77	442
438253	529.7	702
678847	540.03	630
387408	532.48	630
977743	522.49	574
71628	499.35	698
488282	519.4	610
43497	503.42	670
339385	511.26	826
807614	540.62	498
348864	476.97	362
458731	505.1	498
252834	485.4	458
791961	492.75	442
668213	498.51	518
273732	498.05	510
944354	536.24	678
999793	511.57	730
151135	500.3	538
586137	532.55	586
12752	499.19	578
112556	532.96	650
980333	517.91	506
469981	487.32	466
883937	513.3	574
135943	468.88	462
975022	502.19	226
352923	519.23	522
385936	508.14	418
737657	504.32	446
963056	498.49	186
838684	473.72	394
166724	464.5	274
384319	497.74	510
116513	555.48	598
453519	505.6	398
622472	487.09	466
763008	485.13	462
488681	510.03	758
933256	515.22	650
14551	481.48	406
792079	537.51	510
78450	469.13	386
457402	529.2	446
318144	493.3	626
505004	450.76	362
480429	483.84	426
851892	519.17	630
63595	515.51	490
652370	502.01	582
825208	534.27	586
53746	484.68	546
18523	450.98	410
781255	512.58	490
302154	538.99	650
535417	527.39	534
268578	554.18	614
389814	460.22	454
789304	519.06	530
5909	534.0	506
892855	510.26	842
462915	510.89	246
746274	483.05	502
837566	478.58	294
119084	524.63	650
359257	516.13	550
536092	538.83	770
100124	485.15	314
447326	538.32	582
602537	536.68	578
638143	517.43	594
766768	488.03	426
200048	510.07	398
477407	535.68	666
256733	501.2	418
776625	490.18	430
637015	537.54	634
192322	527.74	698
249523	502.4	718
220503	498.26	610
626899	481.29	302
874597	459.32	386
604225	475.32	362
149110	501.14	610
12113	466.05	446
609124	499.5	422
419347	486.26	442
887187	536.98	746
36275	482.76	430
298006	531.35	558
812103	550.43	666
415911	509.07	538
135894	528.49	702
659646	540.62	626
164025	549.38	458
152526	511.06	622
575635	523.28	570
202547	495.62	406
11615	461.3	358
966174	517.45	626
821427	480.62	470
602804	477.24	418
953026	548.95	570
258181	479.92	330
398524	551.91	682
417246	535.69	686
717340	441.44	294
112973	573.75	634
264129	493.68	374
911736	510.78	530
892668	533.77	618
444134	465.68	558
155624	530.73	730
469164	466.01	438
902671	483.99	502
927204	531.27	582
16075	529.19	702
105745	521.86	602
682579	511.71	298
206860	512.3	462
535862	528.66	550
583665	496.6	530
272941	536.26	610
180039	458.88	234
806204	523.16	570
117658	486.53	454
248046	541.59	634
648653	464.0	318
386316	521.43	610
100127	567.33	666
28805	531.12	586
544696	511.62	590
47331	527.92	550
325178	545.69	578
13171	475.48	470
843379	503.06	586
29998	524.79	562
721931	501.05	470
805040	482.22	518
653353	512.49	650
388100	473.35	422
490031	531.11	526
319973	506.05	538
343706	549.49	586
767025	496.89	494
913048	498.84	566
655596	498.17	474
938330	507.95	606
290835	465.56	438
638246	469.7	366
973113	536.64	654
433569	462.27	454
625320	497.86	462
521705	516.25	326
379883	491.45	438
17677	496.67	314
596309	495.58	418
853954	487.75	498
903898	479.57	434
357523	458.39	418
645942	492.38	338
731914	529.88	570
733941	570.99	746
924710	484.3	202
839015	510.44	646
852050	558.5	594
487134	546.14	622
515839	483.26	426
92943	489.03	374
404676	517.17	498
760213	536.03	610
895764	498.88	522
182213	521.97	506
777535	496.44	490
582595	485.76	430
202866	497.95	446
172586	537.27	726
943160	548.47	618
102582	483.52	306
374125	533.88	594
319364	555.39	474
455050	443.34	246
515419	512.66	642
553735	513.09	542
220955	488.7	510
921181	478.02	430
931934	482.84	506
97301	472.31	410
97798	496.88	434
120260	510.5	522
409588	503.77	518
655615	527.57	654
127719	541.48	662
269131	508.83	626
415246	538.39	566
584290	532.03	742
594942	516.56	562
855705	521.56	702
926546	467.15	394
810023	521.43	558
